,Open,High,Low,Close,Volume
2025-06-17 16:29:00,595.7545,595.8442,595.6747,595.7645,50469
2025-06-17 16:30:00,595.7545,595.9539,595.7445,595.944,13752
2025-06-17 16:31:00,595.9439,596.1334,595.9041,595.944,7699
2025-06-17 16:32:00,595.934,595.9739,595.8751,595.9539,18672
2025-06-17 16:33:00,595.934,595.9638,595.9041,595.934,3576
2025-06-17 16:34:00,595.9739,600.8543,595.8841,595.9041,127740
2025-06-17 16:35:00,595.9041,595.944,595.8642,595.924,42153
2025-06-17 16:36:00,595.9041,595.9041,595.8542,595.8941,3003
2025-06-17 16:37:00,595.8841,595.9539,595.8442,595.8592,4222
2025-06-17 16:38:00,595.8841,595.914,595.8343,595.8742,4711
2025-06-17 16:39:00,595.8742,595.9041,595.8442,595.8542,5443
2025-06-17 16:40:00,595.8442,595.934,595.8442,595.934,7942
2025-06-17 16:41:00,595.9041,596.0337,595.9041,595.9535,7622
2025-06-17 16:42:00,595.934,595.9739,595.8742,595.914,12161
2025-06-17 16:43:00,595.924,596.0038,595.914,595.9539,6721
2025-06-17 16:44:00,595.944,595.9838,595.8841,595.9539,6107
2025-06-17 16:45:00,595.9739,596.0337,595.8343,595.8736,9417
2025-06-17 16:46:00,595.8637,595.8841,595.8343,595.8642,109
2025-06-17 16:47:00,595.8642,595.8841,595.8153,595.8442,1821
2025-06-17 16:48:00,595.8442,595.8542,568.1892,595.585,11251
2025-06-17 16:49:00,595.5756,595.6249,568.1892,595.5451,1554
2025-06-17 16:50:00,595.575,595.605,595.5152,595.5352,1447
2025-06-17 16:51:00,595.5252,595.595,595.5053,595.5501,392
2025-06-17 16:52:00,595.5601,595.5651,595.4654,595.4853,3742
2025-06-17 16:53:00,595.4753,595.585,595.4654,595.585,1364
2025-06-17 16:54:00,595.5754,595.6249,595.5651,595.585,3194
2025-06-17 16:55:00,595.585,595.605,571.0567,595.605,1968
2025-06-17 16:56:00,595.605,595.8293,595.5651,595.8143,4733
2025-06-17 16:57:00,595.8343,595.8742,595.7047,595.7745,3803
2025-06-17 16:58:00,595.7745,595.924,595.7346,595.9233,3819
2025-06-17 16:59:00,595.8742,595.8742,595.7047,595.7146,3398
2025-06-17 17:00:00,595.6947,595.7944,595.6349,595.7745,254
2025-06-17 17:01:00,595.6947,595.7944,595.6448,595.6548,114
2025-06-17 17:02:00,595.6349,595.7944,595.6349,595.6349,387
2025-06-17 17:03:00,595.7346,595.7944,595.6648,595.6947,264712
2025-06-17 17:04:00,595.6349,595.7844,595.6349,595.7645,354
2025-06-17 17:05:00,595.6648,595.7844,595.585,595.6847,295
2025-06-17 17:06:00,595.6847,595.7844,595.6648,595.6747,110
2025-06-17 17:07:00,595.7047,595.7745,595.6349,595.7346,232
2025-06-17 17:08:00,595.7745,595.7745,595.6648,595.6809,734
2025-06-17 17:09:00,595.6847,595.6847,595.5352,595.6847,215
2025-06-17 17:10:00,595.6839,595.6847,595.595,595.6448,300
2025-06-17 17:11:00,595.6448,595.6548,595.5352,595.6199,262
2025-06-17 17:12:00,595.6448,595.6448,595.5352,595.5352,343
2025-06-17 17:13:00,595.585,595.6149,595.5352,595.5749,729
2025-06-17 17:14:00,595.5551,595.575,595.5152,595.5451,3254
2025-06-17 17:15:00,595.5451,595.585,595.4953,595.5053,3849
2025-06-17 17:16:00,595.5401,595.585,595.4953,595.4953,976
2025-06-17 17:17:00,595.5352,595.595,595.4953,595.595,3076
2025-06-17 17:18:00,595.605,595.7296,595.605,595.7296,5621
2025-06-17 17:19:00,595.7246,595.7645,595.6747,595.7296,3632
2025-06-17 17:20:00,595.7346,595.7844,595.6747,595.7146,3121
2025-06-17 17:21:00,595.6299,595.7645,595.3756,595.58,25910
2025-06-17 17:22:00,595.605,595.6349,595.4554,595.595,680
2025-06-17 17:23:00,595.605,595.6099,595.4853,595.6099,62
2025-06-17 17:24:00,595.6099,595.7346,595.5352,595.6249,210
2025-06-17 17:25:00,595.7146,595.7346,595.5053,595.6249,187
2025-06-17 17:26:00,595.6249,595.7346,595.6249,595.6249,186
2025-06-17 17:27:00,595.6249,595.6648,595.5152,595.605,707
